FlightDate,Airline,Origin,Dest,Cancelled,Diverted,CRSDepTime,DepTime,DepDelayMinutes,DepDelay,ArrTime,ArrDelayMinutes,AirTime,CRSElapsedTime,ActualElapsedTime,Distance,Year,Quarter,Month,DayofMonth,DayOfWeek,Marketing_Airline_Network,Operated_or_Branded_Code_Share_Partners,DOT_ID_Marketing_Airline,IATA_Code_Marketing_Airline,Flight_Number_Marketing_Airline,Operating_Airline,DOT_ID_Operating_Airline,IATA_Code_Operating_Airline,Tail_Number,Flight_Number_Operating_Airline,OriginAirportID,OriginAirportSeqID,OriginCityMarketID,OriginCityName,OriginState,OriginStateFips,OriginStateName,OriginWac,DestAirportID,DestAirportSeqID,DestCityMarketID,DestCityName,DestState,DestStateFips,DestStateName,DestWac,DepDel15,DepartureDelayGroups,DepTimeBlk,TaxiOut,WheelsOff,WheelsOn,TaxiIn,CRSArrTime,ArrDelay,ArrDel15,ArrivalDelayGroups,ArrTimeBlk,DistanceGroup,DivAirportLandings
2022-04-18,Southwest Airlines Co.,PDX,OAK,false,false,615,611.0,0.0,-4.0,749.0,0.0,85.0,100.0,98.0,543.0,2022,2,4,18,1,WN,WN,19393,WN,976,WN,19393,WN,N225WN,976,14057,1405702,34057,"Portland, OR",OR,41,Oregon,92,13796,1379608,32457,"Oakland, CA",CA,6,California,91,0.0,-1.0,0600-0659,8.0,619.0,744.0,5.0,755,-6.0,0.0,-1.0,0700-0759,3,0.0
2022-04-18,Southwest Airlines Co.,DEN,RDU,false,false,1510,1546.0,36.0,36.0,2037.0,12.0,159.0,195.0,171.0,1436.0,2022,2,4,18,1,WN,WN,19393,WN,6522,WN,19393,WN,N776WN,6522,11292,1129202,30325,"Denver, CO",CO,8,Colorado,82,14492,1449202,34492,"Raleigh/Durham, NC",NC,37,North Carolina,36,1.0,2.0,1500-1559,9.0,1555.0,2034.0,3.0,2025,12.0,0.0,0.0,2000-2059,6,0.0
2022-04-18,Southwest Airlines Co.,MCI,MSY,false,false,1220,1231.0,11.0,11.0,1411.0,0.0,88.0,120.0,100.0,689.0,2022,2,4,18,1,WN,WN,19393,WN,453,WN,19393,WN,N731SA,453,13198,1319801,33198,"Kansas City, MO",MO,29,Missouri,64,13495,1349505,33495,"New Orleans, LA",LA,22,Louisiana,72,0.0,0.0,1200-1259,8.0,1239.0,1407.0,4.0,1420,-9.0,0.0,-1.0,1400-1459,3,0.0
2022-04-25,Southwest Airlines Co.,ONT,LAS,false,false,630,627.0,0.0,-3.0,723.0,0.0,37.0,65.0,56.0,197.0,2022,2,4,25,1,WN,WN,19393,WN,1947,WN,19393,WN,N8665D,1947,13891,1389101,32575,"Ontario, CA",CA,6,California,91,12889,1288903,32211,"Las Vegas, NV",NV,32,Nevada,85,0.0,-1.0,0600-0659,10.0,637.0,714.0,9.0,735,-12.0,0.0,-1.0,0700-0759,1,0.0
2022-04-26,Southwest Airlines Co.,DAL,BNA,false,false,1805,1809.0,4.0,4.0,1940.0,0.0,79.0,105.0,91.0,623.0,2022,2,4,26,2,WN,WN,19393,WN,467,WN,19393,WN,N251WN,467,11259,1125904,30194,"Dallas, TX",TX,48,Texas,74,10693,1069302,30693,"Nashville, TN",TN,47,Tennessee,54,0.0,0.0,1800-1859,8.0,1817.0,1936.0,4.0,1950,-10.0,0.0,-1.0,1900-1959,3,0.0
2022-04-04,Mesa Airlines Inc.,OKC,DFW,false,false,838,1003.0,85.0,85.0,1105.0,75.0,37.0,72.0,62.0,175.0,2022,2,4,4,1,AA,AA_CODESHARE,19805,AA,5734,YV,20378,YV,N329MS,5734,13851,1385103,33851,"Oklahoma City, OK",OK,40,Oklahoma,73,11298,1129806,30194,"Dallas/Fort Worth, TX",TX,48,Texas,74,1.0,5.0,0800-0859,13.0,1016.0,1053.0,12.0,950,75.0,1.0,5.0,0900-0959,1,0.0
2022-04-24,Republic Airlines,PHL,BOS,false,false,1323,1318.0,0.0,-5.0,1429.0,0.0,49.0,87.0,71.0,280.0,2022,2,4,24,7,DL,DL_CODESHARE,19790,DL,5621,YX,20452,YX,N233JQ,5621,14100,1410005,34100,"Philadelphia, PA",PA,42,Pennsylvania,23,10721,1072102,30721,"Boston, MA",MA,25,Massachusetts,13,0.0,-1.0,1300-1359,10.0,1328.0,1417.0,12.0,1450,-21.0,0.0,-2.0,1400-1459,2,0.0
2022-04-24,American Airlines Inc.,PHL,MCO,false,false,829,822.0,0.0,-7.0,1043.0,0.0,116.0,161.0,141.0,861.0,2022,2,4,24,7,AA,AA,19805,AA,1684,AA,19805,AA,N560UW,1684,14100,1410005,34100,"Philadelphia, PA",PA,42,Pennsylvania,23,13204,1320402,31454,"Orlando, FL",FL,12,Florida,33,0.0,-1.0,0800-0859,15.0,837.0,1033.0,10.0,1110,-27.0,0.0,-2.0,1100-1159,4,0.0
2022-04-04,American Airlines Inc.,PHX,LAS,false,false,1020,1015.0,0.0,-5.0,1119.0,0.0,44.0,69.0,64.0,255.0,2022,2,4,4,1,AA,AA,19805,AA,2109,AA,19805,AA,N148AN,2109,14107,1410702,30466,"Phoenix, AZ",AZ,4,Arizona,81,12889,1288903,32211,"Las Vegas, NV",NV,32,Nevada,85,0.0,-1.0,1000-1059,14.0,1029.0,1113.0,6.0,1129,-10.0,0.0,-1.0,1100-1159,2,0.0
2022-04-15,Alaska Airlines Inc.,PDX,JFK,false,false,1420,1417.0,0.0,-3.0,2217.0,0.0,280.0,309.0,300.0,2454.0,2022,2,4,15,5,AS,AS,19930,AS,545,AS,19930,AS,N285AK,545,14057,1405702,34057,"Portland, OR",OR,41,Oregon,92,12478,1247805,31703,"New York, NY",NY,36,New York,22,0.0,-1.0,1400-1459,11.0,1428.0,2208.0,9.0,2229,-12.0,0.0,-1.0,2200-2259,10,0.0
